FSF1086AU,Aspect Diversified Futures-Class A,Aspect Diversified Futures-Class A,Aspect Diversified Futures Fund - Class A,CFS Aspect Diversified Futures,Aspect Diversified Futures-Class A,Aspect Diversified Futures Fund - Class A
PER0072AU,Perpetual SHARE-PLUS Long-Short,,Perpetual WS Share-Plus Long-Short Fund,Perpetual Wholesale Shareplus LongShort,,Perpetual SHARE-PLUS Long-Short Fund
HML0016AU,CBRE Global Property Securities,,,UBS Clarion Global Property Securities Fund,UBS Clarion Global Property SecuritiesFd,CBRE Global Property Securities Fund
TAL0284AU,Fortlake Real-Higher Income,,,Fortlake Real-Higher Income,,Fortlake Real-Higher Income Fund
HOW0098AU,Ardea Real Outcome Fund,Ardea Real Outcome Fund,Ardea Real Outcomes Fund,Ardea Real Outcome,Ardea Real Outcome Fund,Ardea Real Outcome Fund
ALR2783AU,Australian Eagle Trust,,Australian Eagle Trust,Australian Eagle Trust,,Australian Eagle Trust
WHT3859AU,Solaris Australian Equity Long Short Fd,,,,Solaris Australian Equity Long Short Fd,Solaris Australian Equity Long Short Fund
RIM0030AU,Russell High Growth C,Russell Investments High Growth Fund - Class C,Russell  High Growth Fund (Class C),,,Russell Investments High Growth Fund - Class C
WHT1465AU,Plato Global Alpha A,,,Plato Global Alpha A Fund,Plato Global Alpha A,Plato Global Alpha Fund
BAR0817AU,BlackRock Advantage Intl Equity Fund,BlackRock Advantage International Equity,,BlackRock Scientific International Equity,,BlackRock Advantage International Equity Fund - Class D
BAR0814AU,BlackRock Advantage Australian Equity D,BlackRock Advantage Australian Equity,,BlackRock Advantage Australian Equity Fund,,BlackRock Advantage Australian Equity Fund - Class D
IML0005AU,Investors Mutual Equity Income,Investors Mutual Equity Income Fund,,IML Equity Income,Investors Mutual Equity Income,Investors Mutual Equity Income Fund
GTU0109AU,Invesco True Balance A,,,Invesco True Balance A,,Invesco True Balance Fund - Class A
TAL0590AU,Fortlake Real-Income,Fortlake Real-Income,,Fortlake Real-Income,,Fortlake Real-Income Fund
FSF1978AU,Acadian Global Equity Long Short-Class A,,,Acadian Global Equity Long Short-Class A,,Acadian Global Equity Long Short Fund - Class A
AAP0008AU,Ausbil 130/30 Focus - Wholesale,,,Ausbil 130/30 Focus Wholesale,Ausbil 130/30 Focus - Wholesale,Ausbil 130/30 Focus Fund - Wholesale Class
PMC0103AU,PM Capital Enhanced Yield,PM Capital Enhanced Yield,PM Capital Enhanced Yield Fund,PM Enhanced Yield Fund,,PM Capital Enhanced Yield Fund
PMC4700AU,PM Capital Enhanced Yield B,,,PM Capital Enhanced Yield,,PM Capital Enhanced Yield Fund (Class B)
PMC0100AU,PM Capital Global Companies,PM Capital Global Companies,,PM Capital Global Companies,PM Capital Global Companies,PM Capital Global Companies Fund
PIC9659AU,PIMCO TRENDS Managed Futures Stgy Wholsl,,,PIMCO Trends Managed Futures Strategy Wholesale,PIMCO TRENDS Managed Futures Stgy Wholsl,PIMCO TRENDS Managed Futures Strategy Fund - Wholesale Class
IML2681AU,Investors Mutual Private Portfolio,,,IML Investors Mutual Private Portfolio Fund,,Investors Mutual Private Portfolio Fund
IML7090AU,Investors Mutual Private Portfolio B,,,,,Investors Mutual Private Portfolio Fund (Class B Units)
WFS0547AU,Talaria Global Equity Hedged,,,Talaria Global Equity Hedged Fund,Talaria Global Equity Hedged,Talaria Global Equity Fund - Currency Hedged
RIM0004AU,Russell Growth A,Russell Growth A,,,,Russell Investments Growth Fund - Class A
RIM0011AU,Russell Balanced Class C,,Russell  Balanced Fund (Class C),,,Russell Investments Balanced Fund - Class C
MAQ0631AU,IFP Global Franchise Fund (Hedged),IFP Global Franchise Fund (Hedged),,IFP Global Franchise Fund (Hedged)                        ,IFP Global Franchise Fund (Hedged),IFP Global Franchise Fund (Hedged)
MAQ0557AU,Walter Scott Global Equity Hedged,Walter Scott Global Equity Hedged,,Macquarie Walter Scott Global Equity Hedged,Walter Scott Global Equity Hedged,Walter Scott Global Equity Fund (Hedged)
ETL0041AU,MFS Hedged Global Equity Trust W,MFS Fully Hedged Global Equity Trust,MFS Fully Hedged Global Equity Trust,MFS Fully Hedged Global Equity Trust,MFS Fully Hedged Global Equity Trust,MFS Fully Hedged Global Equity Trust
LEND,VanEck Global Listed Priv Crdt AUD H ETF,,VanEck Global Listed Private Credit (AUD Hedged) ETF,VanEck Global Listed Private Credit (AUD Hedged) ETF,,VanEck Global Listed Private Credit (AUD Hedged) ETF
ETL5089AU,GAM LSA Private Shares I,,,,,GAM LSA Private Shares AU Fund
MGE0007AU,Magellan Global (Hedged),Magellan Global (Hedged),Magellan Global Fund (Hedged),Magellan Global Hedged,Magellan Global (Hedged),Magellan Global Fund (Hedged)
FID0021AU,Fidelity Australian High Conviction,,,Fidelity Australian Opportunities,Fidelity Australian Opportunities,Fidelity Australian High Conviction Fund
AAP0002AU,Ausbil Australian Geared Equity,,Ausbil Australian Geared Equity Fund,Ausbil Australian Geared Equity,,Ausbil Australian Geared Equity Fund
GPEQ,VanEck Global Listed Private Equity ETF,,VanEck Global Listed Private Equity ETF,VanEck Global Listed Private Equity ETF,,VanEck Global Listed Private Equity ETF
PER0071AU,Perpetual Geared Australian,,Perpetual Wholesale Geared Australian Share Fund,Perpetual Wholesale Geared Australian,Perpetual Wholesale Geared Australian,Perpetual Geared Australian Share Fund
VAN0022AU,Vanguard Intl Small Companies Index Hgd,Vanguard Intl Small Companies Index Hgd,,,,Vanguard International Small Companies Index Fund (Hedged)
ETL0107AU,EQT Responsible Investment Global Share,,EQT Core International Equity Fund,,,EQT Responsible Investment Global Share Fund - Class B
ETL0276AU,Partners Group Global Value W,,Partners Group Global Value Fund,Partners Group Global Value,Partners Group Global Value W,Partners Group Global Value Fund (AUD) Wholesale
FSF0891AU,CFS FC-Acadian Geared Global Equity,,ACADIAN WHOLESALE GEARED GLOBAL EQUITY  ,CFS FC-Acadian Geared Global Equity,,Acadian Geared Global Equity Fund
WHT5134AU,Firetrail Absolute Return,,Firetrail Absolute Return Fund,Firetrail Absolute Return,Firetrail Absolute Return,Firetrail Absolute Return Fund - Class A
VAN0021AU,Vanguard International Small Companies,Vanguard International Small Companies,,Vanguard International Small Companies Index,,Vanguard International Small Companies Index Fund
